userId,movieId,title,rating
0,356,Forrest Gump (1994),3
0,318,"Shawshank Redemption, The (1994)",4
0,296,Pulp Fiction (1994),1
0,593,"Silence of the Lambs, The (1991)",0
0,2571,"Matrix, The (1999)",5
0,260,Star Wars: Episode IV - A New Hope (1977),4
0,480,Jurassic Park (1993),4
0,110,Braveheart (1995),3
0,589,Terminator 2: Judgment Day (1991),4
0,527,Schindler's List (1993),5
0,2959,Fight Club (1999),
0,1,Toy Story (1995),
0,1196,Star Wars: Episode V - The Empire Strikes Back (1980),
0,50,"Usual Suspects, The (1995)",
0,2858,American Beauty (1999),
0,47,Seven (a.k.a. Se7en) (1995),
0,780,Independence Day (a.k.a. ID4) (1996),
0,150,Apollo 13 (1995),
0,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),
0,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",
0,1210,Star Wars: Episode VI - Return of the Jedi (1983),
0,858,"Godfather, The (1972)",
0,457,"Fugitive, The (1993)",
0,592,Batman (1989),
0,2028,Saving Private Ryan (1998),
0,5952,"Lord of the Rings: The Two Towers, The (2002)",
0,7153,"Lord of the Rings: The Return of the King, The (2003)",
0,588,Aladdin (1992),
0,608,Fargo (1996),
0,2762,"Sixth Sense, The (1999)",
0,380,True Lies (1994),
0,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),
0,364,"Lion King, The (1994)",
0,377,Speed (1994),
0,1270,Back to the Future (1985),
0,3578,Gladiator (2000),
0,4306,Shrek (2001),
0,1580,Men in Black (a.k.a. MIB) (1997),
0,590,Dances with Wolves (1990),
0,648,Mission: Impossible (1996),
0,344,Ace Ventura: Pet Detective (1994),
0,4226,Memento (2000),
0,367,"Mask, The (1994)",
0,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),
0,58559,"Dark Knight, The (2008)",
0,595,Beauty and the Beast (1991),
0,1214,Alien (1979),
0,1036,Die Hard (1988),
0,165,Die Hard: With a Vengeance (1995),
0,500,Mrs. Doubtfire (1993),
0,1265,Groundhog Day (1993),
0,79132,Inception (2010),
0,1197,"Princess Bride, The (1987)",
0,1704,Good Will Hunting (1997),
0,6377,Finding Nemo (2003),
0,316,Stargate (1994),
0,1291,Indiana Jones and the Last Crusade (1989),
0,1721,Titanic (1997),
0,2628,Star Wars: Episode I - The Phantom Menace (1999),
0,153,Batman Forever (1995),
0,1136,Monty Python and the Holy Grail (1975),
0,597,Pretty Woman (1990),
0,231,Dumb & Dumber (Dumb and Dumber) (1994),
0,293,LÃ©on: The Professional (a.k.a. The Professional) (LÃ©on) (1994),
0,1193,One Flew Over the Cuckoo's Nest (1975),
0,3793,X-Men (2000),
0,10,GoldenEye (1995),
0,4886,"Monsters, Inc. (2001)",
0,1089,Reservoir Dogs (1992),
0,1240,"Terminator, The (1984)",
0,6874,Kill Bill: Vol. 1 (2003),
0,7361,Eternal Sunshine of the Spotless Mind (2004),
0,1221,"Godfather: Part II, The (1974)",
0,2329,American History X (1998),
0,34,Babe (1995),
0,1200,Aliens (1986),
0,1213,Goodfellas (1990),
0,1682,"Truman Show, The (1998)",
0,8961,"Incredibles, The (2004)",
0,541,Blade Runner (1982),
0,736,Twister (1996),
0,4995,"Beautiful Mind, A (2001)",
0,1097,E.T. the Extra-Terrestrial (1982),
0,5349,Spider-Man (2002),
0,733,"Rock, The (1996)",
0,2683,Austin Powers: The Spy Who Shagged Me (1999),
0,1206,"Clockwork Orange, A (1971)",
0,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),
0,4973,"Amelie (Fabuleux destin d'AmÃ©lie Poulain, Le) (2001)",
0,5445,Minority Report (2002),
0,1073,Willy Wonka & the Chocolate Factory (1971),
0,4963,Ocean's Eleven (2001),
0,586,Home Alone (1990),
0,1527,"Fifth Element, The (1997)",
0,33794,Batman Begins (2005),
0,208,Waterworld (1995),
0,587,Ghost (1990),
0,5989,Catch Me If You Can (2002),
0,1968,"Breakfast Club, The (1985)",
0,185,"Net, The (1995)",
0,5418,"Bourne Identity, The (2002)",
0,3147,"Green Mile, The (1999)",
0,2,Jumanji (1995),
0,349,Clear and Present Danger (1994),
0,3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",
0,7438,Kill Bill: Vol. 2 (2004),
0,253,Interview with the Vampire: The Vampire Chronicles (1994),
0,924,2001: A Space Odyssey (1968),
0,1258,"Shining, The (1980)",
0,2918,Ferris Bueller's Day Off (1986),
0,4878,Donnie Darko (2001),
0,329,Star Trek: Generations (1994),
0,2115,Indiana Jones and the Temple of Doom (1984),
0,1208,Apocalypse Now (1979),
0,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),
0,48516,"Departed, The (2006)",
0,539,Sleepless in Seattle (1993),
0,1732,"Big Lebowski, The (1998)",
0,1923,There's Something About Mary (1998),
0,68954,Up (2009),
0,39,Clueless (1995),
0,111,Taxi Driver (1976),
0,223,Clerks (1994),
0,60069,WALLÂ·E (2008),
0,161,Crimson Tide (1995),
0,357,Four Weddings and a Funeral (1994),
0,2706,American Pie (1999),
0,6,Heat (1995),
0,778,Trainspotting (1996),
0,1222,Full Metal Jacket (1987),
0,5816,Harry Potter and the Chamber of Secrets (2002),
0,292,Outbreak (1995),
0,434,Cliffhanger (1993),
0,454,"Firm, The (1993)",
0,912,Casablanca (1942),
0,1517,Austin Powers: International Man of Mystery (1997),
0,4022,Cast Away (2000),
0,44191,V for Vendetta (2006),
0,104,Happy Gilmore (1996),
0,2997,Being John Malkovich (1999),
0,339,While You Were Sleeping (1995),
0,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
0,1617,L.A. Confidential (1997),
0,2987,Who Framed Roger Rabbit? (1988),
0,3114,Toy Story 2 (1999),
0,72998,Avatar (2009),
0,1784,As Good as It Gets (1997),
0,1961,Rain Man (1988),
0,3949,Requiem for a Dream (2000),
0,6365,"Matrix Reloaded, The (2003)",
0,2502,Office Space (1999),
0,4027,"O Brother, Where Art Thou? (2000)",
0,59315,Iron Man (2008),
0,551,"Nightmare Before Christmas, The (1993)",
0,4011,Snatch (2000),
0,8368,Harry Potter and the Prisoner of Azkaban (2004),
0,288,Natural Born Killers (1994),
0,919,"Wizard of Oz, The (1939)",
0,1917,Armageddon (1998),
0,2355,"Bug's Life, A (1998)",
0,2396,Shakespeare in Love (1998),
0,5378,Star Wars: Episode II - Attack of the Clones (2002),
0,8360,Shrek 2 (2004),
0,1259,Stand by Me (1986),
0,1356,Star Trek: First Contact (1996),
0,1387,Jaws (1975),
0,2174,Beetlejuice (1988),
0,2797,Big (1988),
0,3948,Meet the Parents (2000),
0,1610,"Hunt for Red October, The (1990)",
0,48780,"Prestige, The (2006)",
0,21,Get Shorty (1995),
0,1080,Monty Python's Life of Brian (1979),
0,19,Ace Ventura: When Nature Calls (1995),
0,2012,Back to the Future Part III (1990),
0,2324,Life Is Beautiful (La Vita Ã¨ bella) (1997),
0,2916,Total Recall (1990),
0,68157,Inglourious Basterds (2009),
0,2011,Back to the Future Part II (1989),
0,2617,"Mummy, The (1999)",
0,2791,Airplane! (1980),
0,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),
0,141,"Birdcage, The (1996)",
0,1246,Dead Poets Society (1989),
0,1391,Mars Attacks! (1996),
0,1653,Gattaca (1997),
0,1307,When Harry Met Sally... (1989),
0,1393,Jerry Maguire (1996),
0,5218,Ice Age (2002),
0,95,Broken Arrow (1996),
0,410,Addams Family Values (1993),
0,904,Rear Window (1954),
0,1220,"Blues Brothers, The (1980)",
0,32587,Sin City (2005),
0,1101,Top Gun (1986),
0,1219,Psycho (1960),
0,3897,Almost Famous (2000),
0,16,Casino (1995),
0,788,"Nutty Professor, The (1996)",
0,300,Quiz Show (1994),
0,317,"Santa Clause, The (1994)",
0,442,Demolition Man (1993),
0,48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",
0,49272,Casino Royale (2006),
0,54286,"Bourne Ultimatum, The (2007)",
0,62,Mr. Holland's Opus (1995),
0,1676,Starship Troopers (1997),
0,2291,Edward Scissorhands (1990),
0,51662,300 (2007),
0,1247,"Graduate, The (1967)",
0,3052,Dogma (1999),
0,6934,"Matrix Revolutions, The (2003)",
0,8636,Spider-Man 2 (2004),
0,3751,Chicken Run (2000),
0,33493,Star Wars: Episode III - Revenge of the Sith (2005),
0,337,What's Eating Gilbert Grape (1993),
0,594,Snow White and the Seven Dwarfs (1937),
0,1573,Face/Off (1997),
0,1625,"Game, The (1997)",
0,3623,Mission: Impossible II (2000),
0,8874,Shaun of the Dead (2004),
0,46578,Little Miss Sunshine (2006),
0,25,Leaving Las Vegas (1995),
0,440,Dave (1993),
0,1225,Amadeus (1984),
0,2700,"South Park: Bigger, Longer and Uncut (1999)",
0,6333,X2: X-Men United (2003),
0,69122,"Hangover, The (2009)",
0,91529,"Dark Knight Rises, The (2012)",
0,2000,Lethal Weapon (1987),
0,2692,Run Lola Run (Lola rennt) (1998),
0,3175,Galaxy Quest (1999),
0,3481,High Fidelity (2000),
0,6016,City of God (Cidade de Deus) (2002),
0,8665,"Bourne Supremacy, The (2004)",
0,368,Maverick (1994),
0,1485,Liar Liar (1997),
0,6711,Lost in Translation (2003),
0,35836,"40-Year-Old Virgin, The (2005)",
0,3994,Unbreakable (2000),
0,109487,Interstellar (2014),
0,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",
0,3977,Charlie's Angels (2000),
0,45722,Pirates of the Caribbean: Dead Man's Chest (2006),
0,50872,Ratatouille (2007),
0,1028,Mary Poppins (1964),
0,1079,"Fish Called Wanda, A (1988)",
0,6373,Bruce Almighty (2003),
0,40815,Harry Potter and the Goblet of Fire (2005),
0,63082,Slumdog Millionaire (2008),
0,99114,Django Unchained (2012),
0,11,"American President, The (1995)",
0,235,Ed Wood (1994),
0,474,In the Line of Fire (1993),
0,1407,Scream (1996),
0,2985,RoboCop (1987),
0,3408,Erin Brockovich (2000),
0,4034,Traffic (2000),
0,520,Robin Hood: Men in Tights (1993),
0,923,Citizen Kane (1941),
0,1278,Young Frankenstein (1974),
0,7147,Big Fish (2003),
0,89745,"Avengers, The (2012)",
0,48,Pocahontas (1995),
0,266,Legends of the Fall (1994),
0,1370,Die Hard 2 (1990),
0,1380,Grease (1978),
0,2054,"Honey, I Shrunk the Kids (1989)",
0,3753,"Patriot, The (2000)",
0,4979,"Royal Tenenbaums, The (2001)",
0,17,Sense and Sensibility (1995),
0,36,Dead Man Walking (1995),
0,1544,"Lost World: Jurassic Park, The (1997)",
0,2081,"Little Mermaid, The (1989)",
0,2353,Enemy of the State (1998),
0,2542,"Lock, Stock & Two Smoking Barrels (1998)",
0,4262,Scarface (1983),
0,74458,Shutter Island (2010),
0,163,Desperado (1995),
0,508,Philadelphia (1993),
0,1288,This Is Spinal Tap (1984),
0,6863,School of Rock (2003),
0,553,Tombstone (1993),
0,555,True Romance (1993),
0,653,Dragonheart (1996),
0,2194,"Untouchables, The (1987)",
0,4246,Bridget Jones's Diary (2001),
0,5481,Austin Powers in Goldmember (2002),
0,48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),
0,56367,Juno (2007),
0,70286,District 9 (2009),
0,353,"Crow, The (1994)",
0,786,Eraser (1996),
0,1035,"Sound of Music, The (1965)",
0,1234,"Sting, The (1973)",
0,1954,Rocky (1976),
0,2710,"Blair Witch Project, The (1999)",
0,4025,Miss Congeniality (2000),
0,1584,Contact (1997),
